Date,Category,Payment_Mode,Description,Amount,Cashback
2024-04-01,Subscription,Credit card,Paid for Netflix subscription,448.43,13.9
2024-04-13,Bills,Credit card,Payment for high-speed internet,329.65,15.35
2024-04-18,Stationary,Cash,Office supplies for the new quarter,55.25,10.96
2024-04-05,Groceries,Cash,Supermarket shopping for household items,362.62,19.13
2024-04-22,Groceries,wallet,Supermarket shopping for essentials,431.8,18.8
2024-04-12,Bills,UPI,Payment for high-speed internet,142.57,10.87
2024-04-17,Bills,Debit card,Paid the electricity bill for the month,301.28,8.73
2024-04-18,Groceries,UPI,Weekly grocery run,284.17,18.0
2024-04-07,Subscription,wallet,Streaming services subscription,427.31,8.23
2024-04-03,Groceries,UPI,Bought snacks and drinks,150.68,12.09
2024-04-29,Subscription,Credit card,Paid for Netflix subscription,41.84,10.71
2024-04-24,Stationary,UPI,Office supplies for the new quarter,421.8,17.36
2024-04-13,Investment,Cash,Invested in cryptocurrency,378.1,6.28
2024-04-10,Groceries,wallet,Supermarket shopping for household items,218.91,7.9
2024-04-23,Transportation,Credit card,Taxi fare to the office,114.38,7.71
2024-04-11,Subscription,UPI,Prime membership renewal,362.9,19.6
2024-04-16,Investment,Cash,Monthly contribution to retirement fund,372.88,16.77
2024-04-08,Groceries,wallet,Bought snacks and drinks,405.91,19.73
2024-04-10,Investment,wallet,Investment in stocks,356.59,18.08
2024-04-01,Bills,Cash,Water bill for the month,166.9,17.26
2024-04-03,Subscription,Debit card,Monthly Hotstar subscription,167.65,14.39
2024-04-28,Investment,Cash,Invested in cryptocurrency,383.35,19.15
2024-04-18,Groceries,Debit card,Bought snacks and drinks,255.23,6.22
2024-04-10,Investment,Credit card,Invested in cryptocurrency,309.94,5.16
2024-04-26,Subscription,Cash,Streaming services subscription,342.78,14.91
2024-04-04,Subscription,Cash,Paid for Netflix subscription,359.83,15.41
2024-04-29,Transportation,wallet,Bus fare for commuting,245.63,8.65
2024-04-18,Transportation,Credit card,Paid for public transport pass,230.65,7.56
2024-04-25,Groceries,Cash,Bought snacks and drinks,407.13,19.01
2024-04-03,Stationary,Debit card,Bought stationery for the office,288.33,18.64
2024-04-10,Bills,Cash,Monthly water bill payment,239.53,17.94
2024-04-18,Subscription,Cash,Prime membership renewal,278.27,9.08
2024-04-17,Subscription,wallet,Streaming services subscription,33.08,14.1
2024-04-12,Investment,Credit card,Invested in cryptocurrency,395.69,16.44
2024-04-09,Groceries,Debit card,Supermarket shopping for household items,303.51,5.55
2024-04-22,Subscription,wallet,Paid for Netflix subscription,209.87,9.97
2024-04-12,Transportation,Credit card,Bus fare for commuting,257.3,17.71
2024-04-26,Groceries,Credit card,Supermarket shopping for essentials,415.89,14.57
2024-04-07,Investment,Debit card,Bought new shares in a company,70.31,9.26
2024-04-04,Subscription,UPI,Paid for online entertainment subscription,355.28,15.7
2024-04-16,Investment,Debit card,Investment in stocks,471.11,19.41
2024-04-18,Investment,UPI,Monthly contribution to retirement fund,84.58,17.19
2024-04-21,Bills,wallet,Monthly water bill payment,299.47,14.93
2024-04-01,Subscription,Cash,Paid for online entertainment subscription,393.68,17.04
2024-04-19,Stationary,Cash,Bought a new set of markers and notepads,146.14,5.74
2024-04-15,Transportation,Debit card,Bus fare for commuting,348.69,12.67
2024-04-17,Investment,Debit card,Bought new shares in a company,38.73,10.82
2024-04-10,Investment,Debit card,Bought new shares in a company,463.98,9.7
2024-04-10,Investment,Credit card,Invested in cryptocurrency,329.79,17.91
2024-04-08,Investment,wallet,Invested in mutual funds,48.33,5.32
2024-04-28,Groceries,wallet,Supermarket shopping for household items,39.28,5.91
2024-04-02,Subscription,Debit card,Monthly Hotstar subscription,367.18,10.36
2024-04-27,Transportation,Credit card,Paid for public transport pass,396.95,13.09
2024-04-21,Investment,Debit card,Investment in stocks,264.06,10.35
2024-04-05,Investment,Debit card,Invested in mutual funds,286.79,15.4
2024-04-24,Subscription,UPI,Paid for online entertainment subscription,154.5,8.71
2024-04-14,Groceries,Credit card,Grocery shopping for fruits and vegetables,356.43,7.15
2024-04-27,Subscription,UPI,Paid for online entertainment subscription,139.67,13.16
2024-04-10,Stationary,Credit card,Bought stationery for the office,76.4,10.88
2024-04-21,Stationary,Cash,Office supplies for the new quarter,424.11,9.11
2024-04-03,Stationary,wallet,Office supplies for the new quarter,281.35,18.17
2024-04-21,Groceries,Cash,Supermarket shopping for household items,181.76,16.5
2024-04-24,Subscription,Debit card,Monthly Hotstar subscription,104.06,18.64
2024-04-03,Investment,wallet,Invested in mutual funds,308.75,18.15
2024-04-27,Stationary,wallet,School supplies shopping,94.54,19.59
2024-04-22,Transportation,wallet,Uber ride for the week,236.28,10.51
2024-04-28,Stationary,Cash,Office supplies for the new quarter,85.69,15.49
2024-04-08,Bills,Debit card,Gas bill payment,438.47,5.61
2024-04-24,Transportation,Debit card,Paid for public transport pass,436.02,19.96
2024-04-24,Transportation,Debit card,Fuel refill for the car,38.46,5.72
2024-04-27,Bills,Credit card,Gas utility charges for the month,401.64,17.62
2024-04-28,Investment,UPI,Invested in mutual funds,400.87,8.01
2024-04-09,Groceries,Cash,Grocery shopping for fruits and vegetables,220.46,7.44
2024-04-10,Subscription,Debit card,Prime membership renewal,342.98,12.96
2024-04-18,Groceries,Cash,Grocery shopping for fruits and vegetables,115.53,10.51
2024-04-11,Bills,Debit card,Electricity usage payment,409.85,14.33
2024-04-06,Subscription,Cash,Paid for online entertainment subscription,475.4,17.5
2024-04-22,Investment,Cash,Monthly contribution to retirement fund,281.24,19.59
2024-04-02,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",369.36,12.78
2024-04-11,Groceries,wallet,Supermarket shopping for household items,244.75,15.81
2024-04-07,Stationary,Cash,School supplies shopping,416.72,10.94
2024-04-09,Investment,Cash,Bought new shares in a company,383.02,7.1
2024-04-29,Transportation,wallet,Paid for public transport pass,435.26,8.2
2024-05-19,Bills,Debit card,Water bill for the month,75.97,12.89
2024-05-16,Stationary,wallet,Bought stationery for the office,486.47,18.88
2024-05-23,Subscription,Cash,Prime membership renewal,191.93,12.04
2024-05-12,Subscription,Debit card,Streaming services subscription,271.47,15.5
2024-05-03,Investment,Cash,Monthly contribution to retirement fund,260.68,7.42
2024-05-13,Transportation,UPI,Paid for public transport pass,229.22,14.91
2024-05-05,Bills,UPI,Monthly broadband charges,103.27,18.81
2024-05-01,Groceries,Credit card,Bought snacks and drinks,355.28,6.56
2024-05-07,Stationary,wallet,School supplies shopping,104.48,11.42
2024-05-04,Bills,Debit card,Settled the water bill,419.33,8.74
2024-05-14,Investment,Debit card,Invested in cryptocurrency,280.56,17.32
2024-05-28,Stationary,Credit card,Bought stationery for the office,429.81,13.77
2024-05-09,Groceries,Credit card,Weekly grocery run,498.22,19.55
2024-05-09,Subscription,Credit card,Prime membership renewal,286.15,19.85
2024-05-16,Subscription,UPI,Monthly Hotstar subscription,404.58,9.83
2024-05-26,Groceries,Cash,Supermarket shopping for household items,168.34,5.84
2024-05-28,Stationary,wallet,Office supplies for the new quarter,460.76,17.84
2024-05-19,Transportation,Credit card,Fuel refill for the car,316.48,9.92
2024-05-23,Bills,Cash,Gas service payment,124.02,16.11
2024-05-05,Stationary,Cash,School supplies shopping,462.86,16.21
2024-05-25,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",118.85,6.34
2024-05-25,Groceries,Cash,Weekly grocery run,322.26,11.96
2024-05-23,Investment,wallet,Invested in mutual funds,79.03,16.81
2024-05-29,Investment,UPI,Investment in stocks,480.53,12.59
2024-05-05,Transportation,Debit card,Paid for public transport pass,125.32,18.79
2024-05-16,Stationary,Debit card,Bought a new set of markers and notepads,241.58,10.93
2024-05-11,Bills,Credit card,Paid the gas bill for this month,85.94,14.33
2024-05-27,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",199.62,19.27
2024-05-18,Subscription,wallet,Paid for Netflix subscription,431.16,7.09
2024-05-01,Investment,UPI,Bought new shares in a company,322.0,15.13
2024-05-02,Investment,wallet,Invested in cryptocurrency,65.77,13.26
2024-05-09,Subscription,UPI,Paid for Netflix subscription,342.14,9.0
2024-05-07,Stationary,wallet,Office supplies for the new quarter,364.97,9.51
2024-05-07,Bills,Credit card,Gas service payment,418.21,17.63
2024-05-14,Groceries,UPI,Weekly grocery run,262.98,6.81
2024-05-24,Stationary,UPI,"Purchased pens notebooks, and other office supplies",242.46,6.4
2024-05-12,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",481.73,14.63
2024-05-08,Bills,Debit card,WiFi charges for the month,322.81,16.45
2024-05-22,Subscription,Debit card,Paid for online entertainment subscription,155.58,9.69
2024-05-13,Groceries,UPI,Supermarket shopping for household items,295.92,5.85
2024-05-07,Subscription,Credit card,Streaming services subscription,404.79,7.86
2024-05-25,Stationary,Cash,Office supplies for the new quarter,384.0,8.36
2024-05-05,Subscription,UPI,Streaming services subscription,122.75,12.15
2024-05-24,Bills,Cash,Paid the electricity bill for the month,118.77,16.87
2024-05-18,Transportation,wallet,Bus fare for commuting,417.32,10.36
2024-05-30,Stationary,UPI,School supplies shopping,158.44,7.36
2024-05-29,Transportation,Cash,Uber ride for the week,448.32,17.09
2024-05-01,Transportation,UPI,Fuel refill for the car,22.44,8.53
2024-05-13,Subscription,wallet,Streaming services subscription,90.42,9.31
2024-05-12,Stationary,UPI,Office supplies for the new quarter,274.16,17.56
2024-05-18,Stationary,UPI,Bought a new set of markers and notepads,262.97,18.11
2024-05-24,Subscription,Cash,Monthly Hotstar subscription,429.06,18.96
2024-05-21,Subscription,UPI,Prime membership renewal,297.68,10.08
2024-05-22,Investment,wallet,Monthly contribution to retirement fund,205.39,9.49
2024-05-15,Subscription,Cash,Streaming services subscription,414.88,10.58
2024-05-17,Bills,Debit card,Settled the monthly gas charges,66.05,14.96
2024-05-14,Subscription,Debit card,Monthly Hotstar subscription,480.81,13.69
2024-05-08,Groceries,wallet,Supermarket shopping for essentials,445.89,7.5
2024-05-08,Transportation,Cash,Bus fare for commuting,117.02,17.03
2024-05-07,Subscription,wallet,Monthly Hotstar subscription,225.22,11.05
2024-05-16,Transportation,Credit card,Fuel refill for the car,481.3,17.71
2024-05-15,Bills,wallet,Water bill for the month,298.26,17.48
2024-05-09,Transportation,UPI,Taxi fare to the office,250.57,13.2
2024-05-13,Transportation,UPI,Uber ride for the week,320.05,19.13
2024-05-17,Investment,wallet,Investment in stocks,464.08,13.84
2024-05-06,Groceries,UPI,Supermarket shopping for household items,79.94,5.05
2024-05-15,Transportation,Debit card,Taxi fare to the office,255.7,15.63
2024-05-25,Investment,Cash,Invested in cryptocurrency,263.04,11.09
2024-05-30,Transportation,UPI,Fuel refill for the car,85.61,11.89
2024-05-26,Groceries,Credit card,Bought snacks and drinks,234.59,9.36
2024-05-29,Bills,wallet,Monthly electricity bill payment,25.46,18.09
2024-05-18,Investment,Cash,Bought new shares in a company,83.02,15.61
2024-05-10,Stationary,Cash,Office supplies for the new quarter,230.81,8.06
2024-05-22,Groceries,UPI,Weekly grocery run,466.1,6.79
2024-05-11,Transportation,Credit card,Taxi fare to the office,409.31,5.44
2024-05-17,Groceries,Debit card,Grocery shopping for fruits and vegetables,455.72,10.02
2024-05-13,Bills,Credit card,Payment for high-speed internet,102.71,16.36
2024-05-15,Stationary,wallet,Office supplies for the new quarter,470.48,10.49
2024-05-04,Groceries,Debit card,Supermarket shopping for essentials,199.73,12.3
2024-05-28,Investment,wallet,Investment in stocks,476.49,5.96
2024-05-10,Stationary,Credit card,Bought a new set of markers and notepads,305.47,11.7
2024-05-08,Groceries,wallet,Grocery shopping for fruits and vegetables,433.86,10.08
2024-05-28,Transportation,Debit card,Bus fare for commuting,454.27,18.49
2024-05-01,Stationary,Credit card,School supplies shopping,104.93,9.75
2024-05-26,Transportation,Cash,Uber ride for the week,418.11,6.6
2024-05-13,Stationary,wallet,Office supplies for the new quarter,295.29,19.15
2024-05-05,Bills,Cash,Paid the electricity bill for the month,292.13,8.9
2024-05-02,Bills,wallet,Gas utility charges for the month,175.95,7.3
2024-05-12,Investment,Cash,Invested in mutual funds,468.44,7.0
2024-05-23,Investment,Cash,Invested in cryptocurrency,64.75,12.74
2024-05-01,Bills,Credit card,Gas service payment,166.44,12.46
2024-05-25,Bills,Debit card,Payment for high-speed internet,243.88,17.05
2024-05-20,Investment,UPI,Invested in mutual funds,192.12,11.13
2024-05-08,Groceries,wallet,Bought snacks and drinks,403.52,7.68
2024-05-16,Transportation,UPI,Paid for public transport pass,259.58,19.7
2024-05-19,Stationary,Credit card,School supplies shopping,289.47,6.78
2024-05-08,Transportation,wallet,Fuel refill for the car,202.99,13.6
2024-05-01,Stationary,UPI,"Purchased pens notebooks, and other office supplies",143.71,10.44
2024-05-13,Stationary,Debit card,School supplies shopping,439.4,9.18
2024-05-20,Bills,wallet,Gas utility charges for the month,331.25,6.37
2024-05-14,Groceries,UPI,Weekly grocery run,335.36,15.27
2024-05-03,Stationary,wallet,School supplies shopping,133.52,17.79
2024-05-18,Subscription,wallet,Paid for Netflix subscription,217.45,5.78
2024-05-09,Subscription,wallet,Paid for Netflix subscription,114.98,15.74
2024-05-12,Transportation,Debit card,Paid for public transport pass,392.77,9.53
2024-05-20,Transportation,wallet,Taxi fare to the office,192.89,8.45
2024-05-04,Investment,wallet,Invested in cryptocurrency,369.25,8.18
2024-05-17,Investment,UPI,Monthly contribution to retirement fund,152.81,12.01
2024-05-22,Groceries,Cash,Bought snacks and drinks,225.33,19.57
2024-05-27,Transportation,Credit card,Taxi fare to the office,368.55,14.03
2024-05-27,Groceries,Cash,Grocery shopping for fruits and vegetables,195.15,10.87
2024-05-20,Groceries,wallet,Supermarket shopping for essentials,113.99,14.49
2024-05-08,Bills,UPI,Water bill for the month,195.04,6.41
2024-05-28,Bills,Credit card,Gas utility charges for the month,479.43,7.46
2024-05-26,Transportation,wallet,Taxi fare to the office,414.78,12.92
2024-05-12,Transportation,Cash,Bus fare for commuting,169.68,7.3
2024-05-21,Bills,Credit card,Paid for monthly WiFi subscription,247.86,17.15
2024-05-01,Stationary,wallet,Bought stationery for the office,20.98,19.52
2024-05-14,Stationary,Credit card,Office supplies for the new quarter,373.49,16.91
2024-05-25,Groceries,Cash,Grocery shopping for fruits and vegetables,497.02,13.18
2024-06-12,Subscription,wallet,Streaming services subscription,53.8,19.04
2024-06-13,Groceries,Debit card,Bought snacks and drinks,46.79,19.06
2024-06-20,Transportation,Debit card,Paid for public transport pass,145.58,9.44
2024-06-25,Groceries,Credit card,Weekly grocery run,83.18,7.23
2024-06-11,Investment,Credit card,Monthly contribution to retirement fund,377.48,13.2
2024-06-21,Groceries,wallet,Supermarket shopping for essentials,285.34,9.22
2024-06-23,Bills,wallet,Paid the gas bill for this month,321.29,5.7
2024-06-24,Groceries,Credit card,Grocery shopping for fruits and vegetables,188.64,8.03
2024-06-24,Groceries,UPI,Weekly grocery run,72.03,11.81
2024-06-28,Investment,Credit card,Invested in mutual funds,304.49,18.27
2024-06-15,Stationary,Debit card,Bought a new set of markers and notepads,207.42,12.14
2024-06-05,Bills,Credit card,Paid the water utility bill,179.14,11.36
2024-06-10,Transportation,Debit card,Uber ride for the week,450.58,6.61
2024-06-22,Subscription,Cash,Monthly Hotstar subscription,472.56,12.62
2024-06-09,Bills,wallet,Settled the monthly gas charges,69.35,8.1
2024-06-18,Stationary,UPI,Office supplies for the new quarter,301.38,17.3
2024-06-02,Transportation,Debit card,Paid for public transport pass,264.79,11.54
2024-06-23,Bills,Debit card,Water bill for the month,51.24,19.5
2024-06-13,Stationary,Credit card,Bought a new set of markers and notepads,24.68,5.92
2024-06-20,Groceries,Credit card,Supermarket shopping for household items,253.61,15.3
2024-06-10,Bills,Debit card,Monthly water bill payment,70.73,9.36
2024-06-15,Groceries,UPI,Bought snacks and drinks,338.96,17.41
2024-06-04,Investment,Credit card,Invested in mutual funds,457.93,10.01
2024-06-15,Investment,Cash,Monthly contribution to retirement fund,147.32,17.8
2024-06-22,Stationary,Credit card,Bought a new set of markers and notepads,412.06,14.97
2024-06-10,Groceries,Cash,Supermarket shopping for essentials,396.09,17.0
2024-06-05,Subscription,Debit card,Prime membership renewal,399.29,19.82
2024-06-15,Subscription,wallet,Paid for online entertainment subscription,215.05,17.93
2024-06-16,Transportation,Cash,Uber ride for the week,319.8,10.12
2024-06-11,Transportation,wallet,Bus fare for commuting,293.12,10.89
2024-06-19,Groceries,Credit card,Grocery shopping for fruits and vegetables,426.7,17.61
2024-06-02,Subscription,Credit card,Paid for Netflix subscription,478.01,10.61
2024-06-22,Bills,Credit card,Settled internet bill,156.08,5.76
2024-06-23,Stationary,wallet,Bought stationery for the office,248.05,8.83
2024-06-08,Subscription,Credit card,Paid for online entertainment subscription,224.97,17.94
2024-06-27,Groceries,Cash,Weekly grocery run,183.08,13.81
2024-06-03,Subscription,UPI,Monthly Hotstar subscription,335.36,9.82
2024-06-01,Transportation,UPI,Fuel refill for the car,131.1,13.1
2024-06-04,Bills,Cash,Electricity bill for the current month,163.36,14.33
2024-06-01,Subscription,Cash,Paid for Netflix subscription,473.58,18.35
2024-06-25,Stationary,UPI,Office supplies for the new quarter,67.63,15.36
2024-06-04,Stationary,UPI,"Purchased pens notebooks, and other office supplies",96.22,5.04
2024-06-26,Transportation,Credit card,Fuel refill for the car,413.68,11.17
2024-06-27,Bills,UPI,Monthly broadband charges,291.89,18.1
2024-06-16,Subscription,Cash,Paid for Netflix subscription,343.93,11.98
2024-06-04,Subscription,wallet,Monthly Hotstar subscription,187.58,5.24
2024-06-23,Bills,Debit card,WiFi charges for the month,236.44,16.54
2024-06-18,Bills,Cash,Paid the gas bill for this month,180.55,7.76
2024-06-21,Subscription,wallet,Paid for Netflix subscription,442.71,17.88
2024-06-14,Bills,Credit card,Settled internet bill,114.43,17.83
2024-06-20,Stationary,Credit card,Office supplies for the new quarter,76.79,6.14
2024-06-22,Groceries,Cash,Supermarket shopping for household items,287.0,15.31
2024-06-05,Bills,UPI,Settled the water bill,409.12,11.36
2024-06-19,Transportation,Credit card,Paid for public transport pass,286.31,8.3
2024-06-21,Bills,UPI,Settled internet bill,320.19,18.49
2024-06-13,Groceries,UPI,Weekly grocery run,21.76,15.52
2024-06-23,Groceries,Debit card,Supermarket shopping for household items,84.97,5.27
2024-06-11,Subscription,wallet,Paid for online entertainment subscription,40.86,12.57
2024-06-05,Investment,Credit card,Investment in stocks,431.47,11.98
2024-06-23,Subscription,UPI,Paid for Netflix subscription,233.95,17.3
2024-06-21,Groceries,UPI,Bought snacks and drinks,309.97,19.56
2024-06-28,Bills,Cash,Water bill for the month,393.63,13.74
2024-06-05,Subscription,Cash,Paid for Netflix subscription,491.96,6.35
2024-06-29,Investment,Cash,Invested in cryptocurrency,203.67,18.51
2024-06-21,Transportation,Cash,Fuel refill for the car,448.22,6.37
2024-06-13,Subscription,Debit card,Monthly Hotstar subscription,380.03,10.17
2024-06-28,Stationary,Debit card,Bought a new set of markers and notepads,380.55,9.98
2024-06-23,Stationary,Cash,Bought a new set of markers and notepads,184.05,10.77
2024-06-16,Stationary,wallet,"Purchased pens notebooks, and other office supplies",50.71,15.0
2024-06-16,Bills,Debit card,Paid for monthly WiFi subscription,396.79,19.18
2024-06-25,Investment,Debit card,Invested in mutual funds,224.79,19.63
2024-06-08,Investment,Cash,Invested in mutual funds,413.89,19.15
2024-06-15,Investment,Credit card,Invested in cryptocurrency,408.82,11.35
2024-06-08,Transportation,UPI,Taxi fare to the office,79.82,17.78
2024-06-18,Subscription,Cash,Monthly Hotstar subscription,163.21,14.44
2024-06-04,Bills,UPI,Paid for monthly WiFi subscription,106.82,5.45
2024-06-01,Stationary,Cash,Office supplies for the new quarter,138.75,13.03
2024-06-19,Bills,UPI,Monthly broadband charges,314.87,14.67
2024-06-11,Bills,wallet,Payment for high-speed internet,24.05,11.98
2024-06-13,Groceries,wallet,Weekly grocery run,122.02,5.32
2024-06-11,Transportation,UPI,Fuel refill for the car,36.46,18.55
2024-06-27,Bills,UPI,Gas service payment,46.38,15.29
2024-06-16,Stationary,Debit card,Bought a new set of markers and notepads,397.39,16.81
2024-06-02,Transportation,Debit card,Uber ride for the week,157.95,19.42
2024-06-04,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",454.6,8.13
2024-06-05,Investment,UPI,Investment in stocks,280.3,15.28
2024-06-02,Stationary,Credit card,Office supplies for the new quarter,307.01,7.68
2024-06-04,Subscription,Credit card,Paid for Netflix subscription,293.11,7.51
2024-06-10,Subscription,Debit card,Paid for online entertainment subscription,408.25,15.03
2024-06-25,Groceries,Cash,Supermarket shopping for household items,319.84,7.13
2024-06-25,Groceries,Credit card,Grocery shopping for fruits and vegetables,100.04,5.1
2024-06-04,Subscription,Debit card,Paid for Netflix subscription,380.51,13.67
2024-06-03,Bills,UPI,Monthly water bill payment,366.11,11.55
2024-06-27,Stationary,wallet,Bought stationery for the office,108.97,13.77
2024-06-18,Transportation,Debit card,Uber ride for the week,263.63,8.86
2024-06-07,Subscription,Debit card,Paid for Netflix subscription,449.97,6.77
2024-06-16,Groceries,Credit card,Supermarket shopping for essentials,73.81,14.28
2024-06-25,Stationary,Credit card,Bought a new set of markers and notepads,120.34,6.14
2024-06-17,Investment,UPI,Invested in mutual funds,187.8,13.25
2024-06-11,Transportation,Credit card,Uber ride for the week,453.91,11.56
2024-06-12,Stationary,wallet,"Purchased pens notebooks, and other office supplies",124.72,17.52
2024-06-14,Bills,Debit card,Paid the gas bill for this month,281.63,19.56
2024-06-01,Bills,Debit card,Settled the monthly gas charges,360.99,16.27
2024-06-08,Bills,UPI,Monthly electricity bill payment,468.53,6.61
2024-06-12,Stationary,wallet,Bought stationery for the office,56.67,8.38
2024-06-10,Investment,Credit card,Investment in stocks,331.66,18.99
2024-06-26,Transportation,wallet,Fuel refill for the car,293.65,5.83
2024-06-12,Transportation,Cash,Paid for public transport pass,116.83,12.95
2024-06-15,Subscription,Debit card,Paid for Netflix subscription,359.5,18.18
2024-06-23,Transportation,Credit card,Bus fare for commuting,40.43,11.4
2024-06-25,Stationary,wallet,School supplies shopping,259.95,6.93
2024-06-02,Subscription,Credit card,Monthly Hotstar subscription,65.57,16.47
2024-06-23,Groceries,UPI,Supermarket shopping for household items,407.17,9.08
2024-06-17,Subscription,Credit card,Paid for Netflix subscription,175.11,16.8
2024-06-06,Transportation,Debit card,Bus fare for commuting,326.09,13.96
2024-06-18,Bills,Cash,Settled internet bill,117.3,14.5
2024-06-01,Bills,wallet,Water bill for the month,190.8,16.84
2024-06-16,Subscription,Debit card,Paid for online entertainment subscription,217.53,5.44
2024-06-26,Transportation,Debit card,Fuel refill for the car,222.99,18.59
2024-06-18,Investment,Debit card,Investment in stocks,163.12,17.36
2024-07-14,Investment,Credit card,Invested in mutual funds,400.07,12.9
2024-07-02,Investment,Credit card,Invested in mutual funds,217.54,16.02
2024-07-17,Investment,Credit card,Invested in cryptocurrency,165.5,10.85
2024-07-17,Bills,Debit card,Payment for high-speed internet,137.24,10.48
2024-07-17,Bills,wallet,Settled internet bill,117.15,11.13
2024-07-01,Stationary,Credit card,School supplies shopping,361.47,15.8
2024-07-25,Investment,Credit card,Invested in cryptocurrency,134.57,15.85
2024-07-27,Groceries,Credit card,Bought snacks and drinks,23.5,8.63
2024-07-09,Stationary,Cash,Bought a new set of markers and notepads,492.86,9.39
2024-07-14,Transportation,Cash,Uber ride for the week,59.32,10.77
2024-07-20,Investment,wallet,Investment in stocks,346.35,5.93
2024-07-05,Stationary,UPI,Office supplies for the new quarter,420.34,12.59
2024-07-20,Investment,Credit card,Bought new shares in a company,332.97,18.51
2024-07-05,Subscription,UPI,Streaming services subscription,81.89,8.9
2024-07-18,Stationary,Cash,School supplies shopping,465.16,5.63
2024-07-02,Investment,wallet,Invested in cryptocurrency,54.31,6.54
2024-07-09,Stationary,Cash,Bought a new set of markers and notepads,391.03,13.61
2024-07-07,Transportation,wallet,Uber ride for the week,426.42,12.35
2024-07-04,Stationary,Cash,Office supplies for the new quarter,72.47,17.17
2024-07-02,Subscription,UPI,Streaming services subscription,393.09,18.8
2024-07-03,Subscription,UPI,Streaming services subscription,247.03,18.44
2024-07-30,Subscription,Credit card,Paid for online entertainment subscription,269.48,10.64
2024-07-01,Investment,Cash,Investment in stocks,79.72,5.1
2024-07-24,Subscription,Debit card,Prime membership renewal,265.79,15.66
2024-07-10,Groceries,Cash,Supermarket shopping for household items,63.28,6.61
2024-07-15,Bills,UPI,Monthly broadband charges,348.13,7.97
2024-07-04,Transportation,Cash,Taxi fare to the office,428.43,9.05
2024-07-18,Investment,Debit card,Investment in stocks,423.26,17.79
2024-07-24,Transportation,Cash,Bus fare for commuting,265.18,12.89
2024-07-01,Transportation,wallet,Uber ride for the week,406.62,18.95
2024-07-23,Transportation,Credit card,Uber ride for the week,366.6,11.51
2024-07-08,Investment,Credit card,Monthly contribution to retirement fund,301.55,12.86
2024-07-27,Transportation,Credit card,Uber ride for the week,394.0,5.43
2024-07-12,Investment,Cash,Invested in cryptocurrency,437.43,19.56
2024-07-30,Subscription,Cash,Streaming services subscription,80.32,16.43
2024-07-27,Groceries,Cash,Supermarket shopping for household items,429.79,18.46
2024-07-14,Subscription,Credit card,Prime membership renewal,434.9,11.68
2024-07-22,Groceries,Cash,Supermarket shopping for essentials,80.53,18.3
2024-07-09,Transportation,Credit card,Bus fare for commuting,320.71,10.04
2024-07-03,Subscription,wallet,Paid for online entertainment subscription,321.8,18.25
2024-07-04,Subscription,Credit card,Monthly Hotstar subscription,37.7,5.27
2024-07-06,Bills,wallet,Monthly water bill payment,404.7,16.32
2024-07-20,Stationary,Cash,"Purchased pens notebooks, and other office supplies",22.92,9.35
2024-07-15,Investment,wallet,Invested in mutual funds,345.97,5.79
2024-07-12,Groceries,Debit card,Supermarket shopping for household items,295.29,12.88
2024-07-01,Bills,Cash,Water bill for the month,165.82,7.39
2024-07-01,Subscription,Cash,Monthly Hotstar subscription,212.26,9.79
2024-07-01,Bills,Credit card,Monthly water bill payment,177.08,9.91
2024-07-29,Subscription,wallet,Paid for Netflix subscription,292.39,15.18
2024-07-16,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",458.04,11.52
2024-07-01,Bills,UPI,Paid the gas bill for this month,27.32,10.17
2024-07-18,Subscription,Debit card,Monthly Hotstar subscription,355.19,7.85
2024-07-03,Bills,UPI,Payment for high-speed internet,220.32,5.94
2024-07-07,Bills,wallet,Gas service payment,139.31,15.42
2024-07-12,Transportation,UPI,Paid for public transport pass,64.23,11.75
2024-07-28,Subscription,Debit card,Paid for online entertainment subscription,430.32,11.85
2024-07-13,Groceries,wallet,Supermarket shopping for essentials,45.3,17.22
2024-07-05,Bills,wallet,Water bill for the month,129.37,6.86
2024-07-29,Groceries,wallet,Bought snacks and drinks,48.2,12.59
2024-07-08,Investment,UPI,Investment in stocks,102.24,7.86
2024-07-04,Transportation,Credit card,Taxi fare to the office,227.24,5.18
2024-07-16,Stationary,UPI,"Purchased pens notebooks, and other office supplies",425.19,6.74
2024-07-20,Transportation,Debit card,Paid for public transport pass,76.84,7.0
2024-07-03,Bills,UPI,Monthly broadband charges,392.85,10.38
2024-07-13,Investment,wallet,Investment in stocks,221.65,17.61
2024-07-03,Investment,Credit card,Investment in stocks,436.2,13.48
2024-07-19,Bills,Debit card,Monthly water bill payment,390.69,17.76
2024-07-12,Transportation,wallet,Uber ride for the week,25.83,18.53
2024-07-02,Stationary,Debit card,School supplies shopping,352.11,8.77
2024-07-24,Groceries,Cash,Supermarket shopping for essentials,143.06,16.91
2024-07-08,Investment,Debit card,Invested in cryptocurrency,280.97,12.39
2024-07-03,Groceries,Credit card,Weekly grocery run,82.2,17.07
2024-07-12,Stationary,Cash,School supplies shopping,35.63,12.21
